id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
28912521,New stylish apartment @Antwerp city park area,39961455,Sam,,Theaterbuurt-Meir,51.20965,4.40447,Entire home/apt,81,1,29,2019-06-30,0.91,3,239
28931007,Freshly renovated loft Antwerp Downtown (Old Town),115662416,Tom,,Historisch Centrum,51.21997,4.39669,Entire home/apt,80,4,21,2020-12-01,0.77,1,21
29023010,Cosy and trendy appartment in historic Antwerp,103582265,Fabienne,,Haringrode,51.20677,4.42539,Entire home/apt,95,14,10,2019-12-20,0.30,1,361
29029189,antwerp,144150870,Ia,,Zuid,51.20946,4.38891,Entire home/apt,205,3,0,,,3,364
29042185,"AAA location ,Romantic studio 1* heart of Antwerp.",59044569,Kevin,,Historisch Centrum,51.21997,4.40014,Entire home/apt,65,1,129,2019-11-06,3.94,3,0
29171558,"Cathedral view 2, heart of Antwerp.",219813019,Chij Kumar,,Historisch Centrum,51.22154,4.40104,Entire home/apt,90,1,152,2020-01-02,4.52,3,331
29227406,Toffe studio,19889207,Alexander,,Historisch Centrum,51.22394,4.40197,Entire home/apt,60,1,138,2020-11-08,4.14,4,168
29250575,Sunny 2 Terrace Panorama Penthouse + Free Parking,220372450,Thomas And Jande,,Stuivenberg,51.22296,4.42654,Entire home/apt,100,14,62,2019-09-06,2.05,2,287
29301255,Fuths Penthouse 55,43673173,Daan,,Stadspark,51.21234,4.41578,Entire home/apt,109,2,4,2021-04-09,0.14,2,282
29380915,Bright Studio SquareView @ Central Station,221340726,Christine,,Centraal Station,51.21704,4.42093,Entire home/apt,65,5,27,2019-12-30,0.85,1,15
29423576,Antwerp Apartment 65 sqM historic center Meir,127657940,Dirk & Kristin,,Theaterbuurt-Meir,51.21861,4.41316,Entire home/apt,68,2,76,2021-07-17,2.31,5,62
29454542,Antwerpen Centrum /Sportpaleis Lotto Arena,161228373,Laura,,Stuivenberg,51.22662,4.43537,Private room,40,1,90,2019-08-17,2.71,3,319
29470139,Apartment for 5 persons (H),107750838,S.,,Haringrode,51.20032,4.42069,Entire home/apt,150,4,1,2018-12-01,0.03,35,364
29523297,Loft Park 82  Near MAS,222322809,Peggy,,Amandus - Atheneum,51.22916,4.41869,Entire home/apt,105,1,99,2019-10-25,2.98,1,38
29562413,"AAA location, Romantic studio 2* heart of Antwerp.",59044569,Kevin,,Historisch Centrum,51.22045,4.39926,Entire home/apt,65,1,100,2019-10-27,3.08,3,0
29563117,"AAA location, Romantic studio 3* heart of Antwerp.",59044569,Kevin,,Historisch Centrum,51.21997,4.40014,Entire home/apt,65,2,69,2020-10-16,2.19,3,0
29565513,Special price! APT perfect for business or leisure,199142824,Donata,,Deurne Zuid West,51.1954,4.45762,Entire home/apt,92,5,12,2020-08-26,0.37,1,46
29600232,Trendy Flat in the Heart of Antwerp,222808625,Alex & Eli,,Centraal Station,51.21059,4.41784,Entire home/apt,51,13,57,2019-07-22,1.76,1,131
29605455,BRAND NEW DUPLEX APARTMENT  @Antwerp city,222831298,Arne,,Harmonie,51.20969,4.40541,Entire home/apt,90,1,141,2020-03-03,4.54,4,311
29626775,Bright flat in a 1920’s building,2587158,Kasper,,Stadspark,51.20659,4.41649,Entire home/apt,52,5,8,2019-11-02,0.97,1,229
29683668,Comfy & spacious apartment in the heart of Antwerp,79434903,Tobias,,Historisch Centrum,51.21852,4.39833,Entire home/apt,76,1,129,2021-05-17,4.12,1,153
29773713,STUDIO NEAR CENTRAL STATION,224007308,Pieter,,Centraal Station,51.21265,4.42626,Entire home/apt,50,2,29,2020-10-24,0.90,1,84
29797685,Comfortable stay close to Antwerp,169112528,Sven,,Hoogte,51.18295,4.39461,Private room,65,1,15,2019-05-31,0.46,1,106
29974854,Flowerroom in unique house,118536151,Pim,,Stuivenberg,51.22589,4.43624,Private room,650,30,9,2020-01-09,0.32,4,26
29975505,Zanzibar bedroom in an authentic mansion,118536151,Pim,,Stuivenberg,51.22642,4.43599,Private room,5800,1,17,2020-01-28,0.52,4,41
29976250,Medieval bedroom in an authentic mansion,118536151,Pim,,Dam,51.22778,4.43639,Private room,650,30,0,,,4,31
29982984,@ the Artist Gallery / Studio,6880249,Sven,,Borgerhout Intra Muros Zuid,51.21349,4.43196,Entire home/apt,65,2,37,2019-02-24,1.27,1,0
30064518,spacious townhouse,225929699,Olivier,,Haringrode,51.20056,4.41974,Entire home/apt,59,2,2,2018-12-31,0.06,1,0
